City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
231,Upernavik,GL,72.79,-56.15,37.81,90,83,10.49,broken clouds
232,Pizarro,CO,4.95,-77.37,78.57,84,45,6.91,light rain
233,Bathsheba,BB,13.22,-59.52,81.21,83,20,17.27,few clouds
234,Miri,MY,4.41,114.01,77.0,88,100,3.04,overcast clouds
235,Naberera,TZ,-4.20,36.93,55.81,93,24,9.24,few clouds
236,Edd,ER,13.93,41.69,90.79,65,100,3.02,overcast clouds
237,New Norfolk,AU,-42.78,147.06,49.71,77,74,3.0,broken clouds
238,Gat,IL,31.61,34.76,79.39,57,0,3.83,clear sky
239,Poum,NC,-20.23,164.02,73.94,70,1,6.67,clear sky
240,Tharad,IN,24.40,71.63,79.3,86,47,8.7,scattered clouds
241,Margate,GB,51.38,1.39,61.3,72,100,1.99,overcast clouds
242,Umm Lajj,SA,25.02,37.27,85.64,63,30,3.96,scattered clouds
243,Vigrestad,NO,58.57,5.70,51.96,79,73,29.17,broken clouds
244,Iqaluit,CA,63.75,-68.51,42.69,80,70,8.88,broken clouds
245,Bida,NG,9.08,6.02,75.33,90,92,4.5,overcast clouds
246,Tilichiki,RU,60.47,166.10,57.45,62,100,3.04,overcast clouds
247,Kamalia,PK,30.73,72.65,85.26,67,40,6.26,scattered clouds
248,Saldanha,ZA,-33.01,17.94,54.88,89,9,7.7,clear sky
249,Rafai,CF,4.95,23.92,68.68,98,100,1.28,light rain
250,Ewa Beach,US,21.32,-158.01,82.35,64,75,21.85,broken clouds
251,Laguna,US,38.42,-121.42,100.15,31,0,6.91,clear sky
252,Cross Lanes,US,38.42,-81.79,76.8,92,75,8.05,broken clouds
253,Geraldton,AU,-28.77,114.60,45.01,87,0,10.36,clear sky
254,Ambanja,MG,-13.68,48.45,69.98,86,69,2.71,broken clouds
255,Kysyl-Syr,RU,63.90,122.76,73.49,65,9,8.01,clear sky
256,Kayerkan,RU,69.35,87.76,55.53,100,73,4.88,broken clouds
257,Buraydah,SA,26.33,43.98,88.95,17,86,4.41,overcast clouds
258,Port Macquarie,AU,-31.43,152.92,55.89,56,0,9.17,clear sky
259,Chokurdakh,RU,70.63,147.92,53.46,47,70,12.15,broken clouds
260,Makakilo City,US,21.35,-158.09,80.92,64,100,21.85,overcast clouds
261,Torbay,CA,47.67,-52.73,70.75,88,75,18.41,broken clouds
262,Olga,RU,43.74,135.29,72.09,81,100,6.22,overcast clouds
263,Luena,AO,-11.78,19.92,52.56,41,2,4.32,clear sky
264,Angol,CL,-37.80,-72.72,46.8,96,15,2.66,few clouds
265,Inhambane,MZ,-23.86,35.38,62.89,75,0,3.67,clear sky
266,Princeton,US,25.54,-80.41,82.99,100,20,6.91,few clouds
267,Peniche,PT,39.36,-9.38,67.28,89,0,17.74,clear sky
268,Luau,AO,-10.71,22.22,60.06,38,5,4.36,clear sky
269,Egvekinot,RU,66.32,-179.17,45.0,58,88,5.61,overcast clouds
270,Labuhan,ID,-6.88,112.21,74.12,85,69,7.25,broken clouds
271,Coquimbo,CL,-29.95,-71.34,55.13,94,20,5.75,few clouds
272,Jinka,ET,5.65,36.65,66.97,50,86,6.17,overcast clouds
273,Marystown,CA,47.17,-55.15,65.86,100,100,1.99,overcast clouds
274,Cumpas,MX,29.98,-109.78,89.13,40,74,8.16,broken clouds
275,Sovetskaya,RU,44.78,41.17,61.72,92,58,5.95,light rain
276,Nemuro,JP,43.32,145.57,64.51,95,99,5.37,overcast clouds
277,Ionia,US,42.99,-85.07,80.94,49,0,3.44,clear sky
278,Miraflores,MX,19.22,-98.81,75.85,69,99,3.65,overcast clouds
279,Saint-Georges,GD,12.06,-61.75,80.28,89,40,11.5,scattered clouds
280,Arroyo Grande,US,35.12,-120.59,83.25,64,0,16.11,clear sky
281,Provideniya,RU,64.38,-173.30,50.36,71,0,13.42,clear sky
282,Takoradi,GH,4.88,-1.76,75.16,89,100,9.75,light rain
283,Loralai,PK,30.37,68.60,73.26,82,12,1.45,few clouds
284,Billings,US,45.78,-108.50,85.28,37,40,5.75,scattered clouds
285,Quelimane,MZ,-17.88,36.89,64.35,88,0,2.3,clear sky
286,Puerto Santander,CO,8.36,-72.41,85.41,76,73,1.59,broken clouds
287,Merauke,ID,-8.47,140.33,76.1,84,100,15.66,overcast clouds
288,Salalah,OM,17.02,54.09,75.29,100,75,9.22,mist
289,Mitsamiouli,KM,-11.38,43.28,75.87,70,2,6.11,clear sky
290,Rockhampton,AU,-23.38,150.50,60.69,44,0,11.5,clear sky
291,Tezu,IN,27.92,96.17,73.47,93,81,2.57,broken clouds
292,Kachug,RU,53.96,105.88,53.13,95,100,4.21,overcast clouds
293,Kendari,ID,-3.94,122.50,74.44,93,78,3.0,broken clouds
294,Bubaque,GW,11.28,-15.83,79.88,76,100,10.27,overcast clouds
295,Dhanera,IN,24.52,72.02,76.01,95,59,6.04,broken clouds
296,Kavieng,PG,-2.57,150.80,84.22,67,89,12.73,overcast clouds
297,Kieta,PG,-6.22,155.63,82.26,76,94,3.09,light rain
298,Kurumkan,RU,54.30,110.30,59.7,95,100,3.62,moderate rain
299,Seymchan,RU,62.88,152.43,65.08,46,100,11.27,overcast clouds
300,Luwuk,ID,-0.95,122.79,77.63,91,94,5.32,overcast clouds
301,Rawson,AR,-43.30,-65.10,45.28,95,100,9.78,moderate rain
302,Tavira,PT,37.13,-7.65,78.28,49,0,8.99,clear sky
303,Zhigansk,RU,66.77,123.37,70.83,57,27,2.75,scattered clouds
304,Khasan,RU,42.43,130.64,71.78,87,98,3.4,overcast clouds
305,Cukai,MY,4.25,103.42,77.88,91,99,6.69,overcast clouds
306,Tres Arroyos,AR,-38.37,-60.28,55.72,95,91,5.46,overcast clouds
307,Lasa,IT,46.62,10.70,64.69,90,80,1.05,broken clouds
308,Catamarca,AR,-28.47,-65.79,75.78,58,72,1.99,broken clouds
309,Puerto Carreno,CO,6.19,-67.49,75.13,89,100,4.47,heavy intensity rain
310,Ribas Do Rio Pardo,BR,-20.44,-53.76,75.52,32,0,4.38,clear sky
311,Zainsk,RU,55.32,52.07,61.79,94,77,5.97,broken clouds
312,Ubala,CO,4.75,-72.54,75.85,89,57,5.01,broken clouds
313,Inza,RU,53.85,46.36,62.89,93,18,2.95,few clouds
314,Ordzhonikidze,KZ,52.44,61.74,62.2,92,99,13.71,light rain
315,Nome,US,64.50,-165.41,46.47,76,100,18.41,overcast clouds
316,Cherskiy,RU,68.75,161.30,50.16,49,4,10.11,clear sky
317,Asau,RO,46.43,26.40,68.95,86,0,3.18,clear sky
318,Honiara,SB,-9.43,159.95,84.96,64,50,4.76,scattered clouds
319,Fomboni,KM,-12.28,43.74,76.06,75,2,14.27,clear sky
320,Anadyr,RU,64.75,177.48,50.5,87,40,20.13,scattered clouds
321,Jibert,RO,46.00,25.07,63.3,46,0,1.9,clear sky
322,Podyuga,RU,61.09,40.86,60.62,81,92,4.92,overcast clouds
323,Tiksi,RU,71.69,128.87,53.49,76,67,2.62,broken clouds
324,Ugoofaaru,MV,5.67,73.00,81.77,78,79,17.16,broken clouds
325,Vestmannaeyjar,IS,63.44,-20.27,53.28,98,100,15.75,overcast clouds
326,Hanko,FI,59.83,22.95,63.14,79,37,18.75,scattered clouds
327,Hirara,JP,24.80,125.28,84.49,77,9,9.66,clear sky
328,Auki,SB,-8.77,160.70,84.52,63,41,2.42,scattered clouds
329,Asosa,ET,10.07,34.53,62.13,81,100,3.65,overcast clouds
330,Atbasar,KZ,51.80,68.33,69.87,44,98,15.82,overcast clouds
331,Inta,RU,66.03,60.17,46.47,88,81,12.73,broken clouds
332,Sibu,MY,2.30,111.82,73.38,99,100,1.41,moderate rain
333,College,US,64.86,-147.80,58.98,62,100,28.77,light rain
334,Nenjiang,CN,49.18,125.22,71.24,94,78,5.77,broken clouds
335,Bilma,NE,18.69,12.92,90.34,11,30,7.92,scattered clouds
336,High Wycombe,GB,51.63,-0.75,62.98,78,100,6.29,overcast clouds
337,Sitka,US,57.05,-135.33,60.69,82,100,4.61,overcast clouds
338,Port Hardy,CA,50.70,-127.42,67.89,78,62,7.67,broken clouds
339,Samarinda,ID,-0.50,117.15,73.85,99,100,1.86,overcast clouds
340,Benguela,AO,-12.58,13.41,67.14,91,19,2.26,few clouds
341,Tevaitoa,PF,-16.78,-151.50,76.17,80,50,10.22,scattered clouds
342,Ust-Maya,RU,60.42,134.53,71.82,52,10,1.57,clear sky
343,Georgetown,MY,5.41,100.34,80.89,90,20,0.0,thunderstorm
344,Mehamn,NO,71.04,27.85,57.15,94,100,1.14,overcast clouds
345,Los Llanos De Aridane,ES,28.66,-17.92,76.75,47,0,10.36,clear sky
346,Alekseyevka,RU,50.63,38.69,62.76,91,72,4.29,broken clouds
347,Yumen,CN,40.28,97.20,74.08,17,6,9.89,clear sky
348,Tocopilla,CL,-22.09,-70.20,62.1,75,37,10.6,scattered clouds
349,Aswan,EG,24.09,32.91,87.31,16,1,8.57,clear sky
350,Beringovskiy,RU,63.05,179.32,47.17,93,100,8.84,moderate rain
351,Alta Floresta,BR,-9.88,-56.09,80.13,33,12,3.2,few clouds
352,Nabire,ID,-3.37,135.48,77.34,86,48,3.33,scattered clouds
353,Aykhal,RU,66.00,111.50,72.5,67,58,9.73,broken clouds
354,Nuristan,AF,35.30,70.83,50.11,77,40,2.53,scattered clouds
355,Carora,VE,10.18,-70.08,84.4,53,71,13.53,broken clouds
356,Bandarbeyla,SO,9.49,50.81,76.68,75,43,29.91,scattered clouds
357,Saint-Pierre,RE,-21.34,55.48,66.9,70,0,6.91,clear sky
358,Palmer,US,42.16,-72.33,78.66,55,40,5.75,scattered clouds
359,Rantauprapat,ID,2.10,99.83,72.36,94,97,1.19,overcast clouds
360,Pisco,PE,-13.70,-76.22,62.65,82,20,8.05,mist
