City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
423,Suwannaphum,TH,80.85,few clouds,15.6,103.8,วรรณมณี รีสอร์ท
424,Yarmouth,US,79.27,clear sky,41.71,-70.23,The Inn At Cape Cod
425,Kijang,KR,75.13,scattered clouds,35.24,129.21,Brown Dot Gijang Yeonhwari
426,Fereydun Kenar,IR,77.88,few clouds,36.69,52.52,Khezer Shahr Tourist Hotel
433,Shimoda,JP,86.11,broken clouds,34.67,138.95,Shimoda Tokyu Hotel
434,Naze,JP,81.23,clear sky,28.37,129.48,Shishime Hotel
435,Zhoucheng,CN,76.37,clear sky,35.91,116.31,Yingbin Restaurant
436,Kingsport,US,83.55,overcast clouds,36.55,-82.56,MeadowView Conference Resort & Convention Center
437,Broome,US,77.54,clear sky,42.25,-75.83,Chenango Valley State Park
441,Whitefish,US,88.9,clear sky,48.41,-114.34,Best Western Rocky Mountain Lodge
443,Harper,LR,75.07,overcast clouds,4.38,-7.72,Screensaver
444,Urgut,UZ,76.62,clear sky,39.4,67.24,Xursandov Abdullo xonadoni
449,Myanaung,MM,78.78,broken clouds,18.28,95.32,အုတ္ပံု
450,Wadi Maliz,TN,82.33,clear sky,36.47,8.55,Heremony
454,Dharmadam,IN,76.8,moderate rain,11.78,75.43,Samudra Homes
457,Saint George,US,97.43,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
459,Jalu,LY,84.22,clear sky,29.03,21.55,صاحبة الفخامة
461,Nisia Floresta,BR,76.01,broken clouds,-6.09,-35.21,Rancho Crepusculo
462,Panaba,MX,84.09,overcast clouds,21.28,-88.27,Hotel Amor
463,Progreso,MX,75.31,scattered clouds,21.28,-89.67,Playa Linda Hotel
464,Catio,GW,76.91,overcast clouds,11.28,-15.25,Pausada Morabedja
471,Jardim,BR,77.27,clear sky,-21.48,-56.14,Estancia Hotel - Jardim MS
472,Hami,CN,78.3,scattered clouds,42.8,93.45,Laoyutang Resort
473,Masallatah,LY,75.78,clear sky,32.62,14.0,Mohamed Ahmed Salem
475,Fort Stewart,US,92.03,scattered clouds,31.87,-81.61,"Holiday Inn Express & Suites Hinesville East - Fort Stewart, an IHG Hotel"
476,Alepe,CI,78.67,overcast clouds,5.5,-3.66,BENENE 1
478,San Patricio,US,95.72,broken clouds,28.02,-97.52,"Motel 6 Sinton, TX"
479,Noshiro,JP,77.99,overcast clouds,40.2,140.02,Suigetsu
484,Sturgeon Falls,CA,76.08,clear sky,46.36,-79.93,Lincoln Motel
485,Dayong,CN,79.79,few clouds,25.02,118.29,Haiyue Express Hotel
486,Moa,CU,83.08,clear sky,20.66,-74.94,Carmen
487,Sanmenxia,CN,75.2,overcast clouds,34.77,111.18,Pengzhou Hotel
492,Sakaiminato,JP,79.09,clear sky,35.55,133.23,Italian pasley
493,Johnstown,US,77.79,overcast clouds,40.33,-78.92,"Holiday Inn Johnstown-Downtown, an IHG Hotel"
495,Kongolo,CD,76.26,broken clouds,-5.38,27.0,Centre d’Accueil et de Formation
497,Amahai,ID,77.59,light rain,-3.33,128.92,HOTEL ISABELA
498,Dingle,PH,79.56,broken clouds,11.0,122.67,SEGAYA PROPERTY
507,Kilindoni,TZ,75.6,scattered clouds,-7.91,39.67,Bustani B&B
509,Waddan,LY,81.18,clear sky,29.16,16.14,محل الشريف محمد العايب
510,Labrea,BR,81.73,clear sky,-7.26,-64.8,Hotel Novo Horizonte
511,Rock Springs,US,90.23,clear sky,41.59,-109.2,Homewood Suites by Hilton Rock Springs
512,Tecoanapa,MX,84.18,overcast clouds,16.52,-98.75,Hotel Manglares
513,Thinadhoo,MV,77.23,overcast clouds,0.53,72.93,
514,Tari,NG,81.91,overcast clouds,12.41,4.49,
517,Santa Cruz,BO,80.65,scattered clouds,-17.8,-63.17,Hotel California
518,Neiafu,TO,76.41,broken clouds,-18.65,-173.98,Mystic Sands Beachfront Accommodation
520,Black Forest,US,79.95,broken clouds,39.01,-104.7,Datt Properties
521,Gorom-Gorom,BF,90.64,overcast clouds,14.44,-0.24,
524,Iranshahr,IR,82.18,overcast clouds,27.2,60.68,پانسیون پزشکان متخصص خاتم
525,Bandar-E Anzali,IR,75.34,few clouds,37.47,49.46,Behesht Talab Hotel
527,Basco,PH,84.54,broken clouds,20.45,121.97,Nathaniel's Lodge
528,Abu Kamal,SY,88.63,clear sky,34.45,40.92,البوكمال
532,Shingu,JP,80.67,overcast clouds,33.73,135.98,Shingu UI Hotel
533,Providencia,MX,96.24,overcast clouds,28.72,-111.58,
537,Swabi,PK,79.39,overcast clouds,34.12,72.47,راجو چھولے فروش
539,Riohacha,CO,85.33,few clouds,11.54,-72.91,Hotel Taroa
540,Half Moon Bay,US,83.91,overcast clouds,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
542,Athabasca,CA,76.48,scattered clouds,54.72,-113.29,Athabasca Lodge Motel
543,Shenzhen,CN,86.86,clear sky,22.55,114.07,Grand Skylight
544,Kahului,US,87.82,few clouds,20.89,-156.47,Maui Seaside Hotel
545,Sola,VU,80.35,scattered clouds,-13.88,167.55,Ulkel Guest House
546,Kaohsiung,TW,87.04,broken clouds,22.62,120.31,御宿商旅-中山館
547,Marrakesh,MA,91.47,clear sky,31.63,-8.01,Les Jardins de La Koutoubia
550,Najran,SA,82.36,overcast clouds,17.49,44.13,محمد هادي ال فطيح
552,Elizabethtown,US,77.77,overcast clouds,37.69,-85.86,"Motel 6 Elizabethtown, KY"
559,Rafsanjan,IR,83.84,overcast clouds,30.41,55.99,Rafsanjan Tourism Hotel
561,Miyako,JP,76.86,overcast clouds,39.64,141.95,Hotel Route Inn Miyako
563,Kavaratti,IN,81.34,overcast clouds,10.57,72.64,Dharul Hudha
567,San Jose,US,88.84,smoke,37.34,-121.89,The Westin San Jose
568,San Cristobal Acasaguastlan,GT,85.55,overcast clouds,14.92,-89.88,"Plaza Colonial, San Cristóbal Acasaguastlán"
570,Ajdabiya,LY,79.12,clear sky,30.76,20.23,محل افطومه اللملابس نساء وأطفال
577,Garden City,US,82.92,scattered clouds,42.33,-83.33,Quality Inn & Suites Banquet Center
579,Puerto Escondido,MX,83.23,overcast clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
580,Kalispell,US,89.17,clear sky,48.2,-114.31,Red Lion Hotel Kalispell
583,Hit,IQ,90.05,clear sky,33.64,42.83,حاتم
584,Praxedis Guerrero,MX,90.86,clear sky,31.37,-106.02,Congregación placitas de Otero
586,Muborak,UZ,87.44,clear sky,39.26,65.15,Muborak temiryoʻl vakzali
588,Banamba,ML,80.26,broken clouds,13.55,-7.45,Kassela de Banamba
591,Maiduguri,NG,81.07,overcast clouds,11.85,13.16,Beach Guest Home
592,Palamos,ES,78.39,few clouds,41.85,3.13,Hotel Rosamar
593,Coahuayana,MX,87.12,broken clouds,18.73,-103.68,El rranchito michuacan de ocampos
594,Tazmalt,DZ,82.47,broken clouds,36.39,4.4,Hôtel Numédia
596,Crotone,IT,83.19,clear sky,39.09,17.12,Helios Hotel
598,Bontang,ID,76.3,light rain,0.13,117.5,Okra Leaf Guest House Syariah
601,Bani,DO,84.85,clear sky,18.28,-70.33,Hospedaje Henriquez
603,Nong Phai,TH,76.53,clear sky,15.99,101.06,เอ็ม.เจ รีสอร์ท
607,Kloulklubed,PW,79.3,overcast clouds,7.04,134.26,Storyboard Beach Resort
608,Shishou,CN,81.36,overcast clouds,29.72,112.42,Chuyuan Hotel
610,Gardendale,US,91.76,scattered clouds,33.66,-86.81,Microtel Inn & Suites by Wyndham Gardendale
611,Sinnamary,GF,79.18,scattered clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
612,Marabba,SD,77.97,overcast clouds,12.35,32.18,
618,Fare,PF,77.02,broken clouds,-16.7,-151.02,Maitai Lapita Village Huahine
620,Baoqing,CN,75.43,clear sky,46.33,132.21,Baoqing Hotel
623,Buckeye,US,97.41,broken clouds,33.37,-112.58,Buckeye Motor Hotel
625,Cobija,BO,81.25,overcast clouds,-11.03,-68.77,Hotel Obelisco
626,Oranjestad,AW,80.71,clear sky,12.52,-70.03,Divi Village Golf & Beach Resort
627,Wenling,CN,81.21,few clouds,28.37,121.36,Hanting Express Wenling Wanchang North Road
628,Key West,US,87.8,broken clouds,24.56,-81.78,Fairfield Inn & Suites by Marriott Key West
632,Banda Aceh,ID,77.63,light rain,5.56,95.32,OYO 884 Rumoh PMI Hotel
634,Sao Felix Do Xingu,BR,80.33,broken clouds,-6.64,-51.99,Aparte Hotel Rio Xingu
636,Whitehorse,CA,75.31,overcast clouds,60.72,-135.05,The Sternwheeler Hotel & Conference Centre
637,Guanica,PR,86.05,scattered clouds,17.97,-66.91,Copamarina Beach Resort & Spa
638,Esna,EG,87.46,clear sky,25.29,32.55,Orient Star Dahabyia Isna 05 Nights Each Sunday
640,Roma,US,75.67,clear sky,43.21,-75.46,Wingate By Wyndham Rome
641,Gazalkent,UZ,82.51,clear sky,41.56,69.77,Khumson Sanatoriy
643,Brewster,US,80.92,clear sky,41.4,-73.62,Heidi's Inn
649,Namangan,UZ,82.85,clear sky,41.0,71.67,Orzu Hotel
